episode,total_steps,episode_steps,episode_reward,episode_env_reward,lives_lost,epsilon,average_loss,mean_max_q,mean_q,mean_q_gap
0,829,829,-26.290000000000106,50.0,1,0.9996849799999817,,0.027324176799007147,-0.0067190703597769085,0.003921820423751171
1,1146,317,-39.16999999999995,15.0,1,0.9995645199999748,,0.02791755164647328,-0.0066064349860422995,0.004710762705712665
2,1791,645,-34.45000000000019,55.0,1,0.9993194199999605,,0.027670820886197017,-0.006627766450130662,0.004299333685821341
3,2510,719,0.8100000000002368,80.0,1,0.9990461999999447,,0.027690062426310422,-0.0066845526002989935,0.004550801312890272
4,3009,499,-33.99000000000017,30.0,1,0.9988565799999337,,0.02724600428032254,-0.006464842205796249,0.003284369634542771
5,3490,481,-43.80999999999993,15.0,1,0.9986737999999231,,0.027626596100767783,-0.006514415895206207,0.003970888344543887
6,3937,447,19.52999999999968,75.0,1,0.9985039399999133,,0.027577243136946254,-0.00663241591112859,0.00394803643960014
7,4424,487,-0.8699999999998766,60.0,1,0.9983188799999025,,0.027796835437784204,-0.006466125053959828,0.004038546188472478
8,5057,633,-56.3299999999999,15.0,1,0.9980783399998886,,0.027999966827590508,-0.00667286363958512,0.0046569156191219084
9,5704,647,-44.469999999999885,15.0,1,0.9978324799998743,,0.02777768368077057,-0.006695406733100897,0.004149447991246418
10,6191,487,-84.87000000000029,5.0,1,0.9976474199998636,,0.027558922021816153,-0.006543571096931028,0.003791216745574861
11,6918,727,-16.269999999999577,50.0,1,0.9973711599998476,,0.027393927456916118,-0.006703646654363061,0.004133042273466492
12,7627,709,-18.08999999999959,45.0,1,0.997101739999832,,0.027282787250467854,-0.006744780110087566,0.003948707664214674
13,8528,901,7.990000000000414,80.0,1,0.9967593599998121,,0.027166565530804234,-0.006735801058495779,0.0036769810956504847
14,9315,787,17.129999999998866,80.0,1,0.9964602999997948,,0.0274875984092869,-0.006739451245817781,0.004017866551497385
15,10026,711,-6.109999999999928,55.0,1,0.9961901199997791,0.18667066335695348,0.027857465171759473,-0.006331691975736763,0.004816627349971719
16,11809,1783,-23.829999999999735,105.0,1,0.9955125799997399,0.1550301727617067,0.023340070245665274,-0.002190756123367611,0.006818502951795742
17,12784,975,-1.7499999999996447,75.0,1,0.9951420799997184,0.1396178042071346,0.031974893204199197,-0.004452598564784215,0.008829365210750928
18,13227,443,-65.42999999999991,0.0,1,0.9949737399997086,0.1884815351995815,0.043788800539520334,0.0009365609207644672,0.008134174205858942
19,14010,783,-69.83000000000084,15.0,1,0.9946761999996914,0.15486392548733666,0.04651489937416305,-0.008294698014489042,0.008720505455720546
20,14801,791,-68.91000000000014,35.0,1,0.9943756199996739,0.1435205377913879,0.06217415213076263,0.038828711261282976,0.004872951029615027
21,15380,579,-42.78999999999992,15.0,1,0.9941555999996612,0.14019741130531985,0.10476587217346169,0.07223706103652529,0.01759820992838019
